entry_id,week_number,stage,q1_score,q2_score,q3_score,q4_score,participant_age,participant_gender,doodle_storage_path
001,3,1,1,1,1,3,19,female,week-3/w3_s1_001.png
002,3,1,5,4,2,5,21,male,week-3/w3_s1_002.png
003,3,1,5,2,1,4,24,nonbinary,week-3/w3_s1_003.png
004,3,1,5,2,4,4,21,male,week-3/w3_s1_004.png
005,3,1,5,1,5,3,21,male,week-3/w3_s1_005.png
006,3,1,4,2,1,2,22,male,week-3/w3_s1_006.png
007,3,1,5,2,5,4,23,male,week-3/w3_s1_007.png
008,3,1,4,2,1,4,20,female,week-3/w3_s1_008.png
009,3,1,3,1,1,2,20,female,week-3/w3_s1_009.png
010,3,1,5,1,2,2,20,female,week-3/w3_s1_010.png
011,3,1,2,1,4,3,23,female,week-3/w3_s1_011.png
012,3,1,5,3,5,3,25,male,week-3/w3_s1_012.png
013,3,1,5,5,1,5,58,male,week-3/w3_s1_013.png
014,3,1,3,2,5,3,20,female,week-3/w3_s1_014.png
015,3,1,3,2,5,3,19,female,week-3/w3_s1_015.png
016,3,1,2,2,1,2,19,female,week-3/w3_s1_016.png
017,3,1,5,2,4,1,20,female,week-3/w3_s1_017.png
018,3,1,5,3,5,2,25,female,week-3/w3_s1_018.png
019,3,1,2,2,3,3,21,female,week-3/w3_s1_019.png
020,3,1,2,2,2,3,23,female,week-3/w3_s1_020.png
021,3,1,3,2,4,3,20,female,week-3/w3_s1_021.png
022,3,1,1,3,3,2,20,female,week-3/w3_s1_022.png
023,3,1,5,3,5,4,20,female,week-3/w3_s1_023.png
024,3,1,5,1,5,5,23,male,week-3/w3_s1_024.png
025,3,1,4,3,5,5,34,male,week-3/w3_s1_025.png
026,3,1,1,1,3,1,19,female,week-3/w3_s1_026.png
027,3,1,2,1,1,1,20,self_describe,week-3/w3_s1_027.png
028,3,1,4,1,5,2,19,female,week-3/w3_s1_028.png
029,3,1,2,1,5,1,22,female,week-3/w3_s1_029.png
030,3,1,2,1,5,3,22,female,week-3/w3_s1_030.png
031,3,1,2,3,1,2,20,female,week-3/w3_s1_031.png
032,3,1,4,1,3,3,21,female,week-3/w3_s1_032.png
033,3,1,2,1,1,2,19,male,week-3/w3_s1_033.png
034,3,1,5,1,5,2,20,male,week-3/w3_s1_034.png
035,3,1,4,1,1,2,19,male,week-3/w3_s1_035.png
036,3,1,5,3,5,2,27,male,week-3/w3_s1_036.png
037,3,1,3,1,5,4,22,female,week-3/w3_s1_037.png
038,3,1,2,1,1,3,21,male,week-3/w3_s1_038.png
039,3,1,4,2,3,1,21,female,week-3/w3_s1_039.png
040,3,1,5,1,5,1,23,female,week-3/w3_s1_040.png
041,3,1,3,3,3,2,25,female,week-3/w3_s1_041.png
042,3,1,5,3,5,4,21,female,week-3/w3_s1_042.png
043,3,1,5,3,2,2,21,female,week-3/w3_s1_043.png
044,3,1,5,3,4,3,28,male,week-3/w3_s1_044.png
045,3,2,2,1,1,4,19,male,week-3/w3_s2_045.png
046,3,2,4,5,5,5,19,female,week-3/w3_s2_046.png
047,3,2,2,4,2,5,19,male,week-3/w3_s2_047.png
048,3,2,4,3,4,5,20,female,week-3/w3_s2_048.png
049,3,2,2,1,1,4,20,female,week-3/w3_s2_049.png
050,3,2,3,4,2,2,21,male,week-3/w3_s2_050.png
051,3,2,4,2,4,3,25,female,week-3/w3_s2_051.png
052,3,2,4,2,1,2,23,female,week-3/w3_s2_052.png
053,3,2,5,3,5,5,20,female,week-3/w3_s2_053.png
054,3,2,5,2,2,4,23,female,week-3/w3_s2_054.png
055,3,2,3,2,5,4,21,male,week-3/w3_s2_055.png
056,3,2,1,1,5,5,24,nonbinary,week-3/w3_s2_056.png
057,3,2,4,1,1,4,25,male,week-3/w3_s2_057.png
058,3,2,5,1,2,5,22,male,week-3/w3_s2_058.png
059,3,2,5,3,1,4,20,female,week-3/w3_s2_059.png
060,3,2,4,5,5,3,20,female,week-3/w3_s2_060.png
061,3,2,1,2,4,1,23,male,week-3/w3_s2_061.png
062,3,2,2,4,4,3,29,male,week-3/w3_s2_062.png
